Nazwa,Opis,Typ,Obrazek
Maciej Marcinkowski,Tajemniczy handlarz roszczeniami. Dorobił się bajecznego majątku na reprywatyzacji. ,handlarz roszczeniami,http://www.ndi.pl/upload/akt/zdjecie.JPG
Marcin Bajko,Dyrektor Biura Gospodarki Nieruchomościami. Nie składa oświadczeń majątkowych. Ma na boku firmę doradczą. To on decyduje komu i kiedy oddaje się nieruchomości w Warszawie. ,urzędnik,http://bi.gazeta.pl/im/9/5913/z5913509Q.jpg
Działka na placu Defilad,"Działka przy ul. Emilii Plater. Można na niej wybudować wieżowiec wyższy niż Pałac Kultury. Marcinkowski ma połowę działki. Miasto zgodziło mu się odsprzedać drugą połowę w trybie bezprzetargowym za 15 milionów złotych rozłożone na raty. Co więcej plan dla tego terenu był uchwalany w ogromnym pośpiechu i zawiera rażące błędy, które mogą skutkować wypłatą milionowych odszkodowań Marcinkowskiemu. Miasto Jest Nasze wraz z innymi organizacjami pozarządowymi zaapelowały o wstrzymanie się ze sprzedażą działki do prezydent miasta. Bezskutecznie.",nieruchomość,http://bi.gazeta.pl/im/40/b4/e4/z14988352Q.jpg
Działka na placu Zamkowym,Zwrócona razem z fragmentem Trasy W-Z. Miasto nie odwołało się od decyzji najniższej instancji i wydało bardzo kontrowersyjne warunki zabudowy i zalecenia konserwatorskie. ,nieruchomość,http://bi.gazeta.pl/im/a2/5f/e2/z14835618Q.jpg
Hanna Gronkiewicz-Waltz,"Prezydent miasta. Dementujemy plotki, że nie istnieje. ",urzędnik,"http://bi.gazeta.pl/im/6/6229/z6229276K,Hanna-Gronkiewicz-Waltz.jpg"
Jakub Rudnicki,"Były zastępca dyrektora Biura Gospodarki Nieruchomościami. Pracował w biurze, gdy jego matka wykupiła roszczenia do kamienicy na Starym Mokotowie i zabiegała o jego zwrot. Miał pełen wgląd do akt sprawy. Po nagłym odejściu z pracy przejął roszczenia od matki i kilka miesięcy później ""odzyskał"" kamienicę. ","urzędnik",
Kamienica na aleji Szucha,Przed wojną kamienica dla sanacyjnej generalicji. Po wojnie mieszkali tam funkcjonariusze aparatu bezpieczeństwa. W III RP siedziba wielu firm.,nieruchomość,http://s591.photobucket.com/user/schayer/media/Mt68s6sbBUwgOS0HbB.jpg.html
Kamienica przy ul. Kazimierzowskiej,"Duża willa na Starym Mokotowie. Ją odzyskał Jakub Rudnicki. Podwyższył mieszkańcom czynsz i zamierza tam zamieszkać ""aż do śmierci"".",nieruchomość,"http://bi.gazeta.pl/im/0c/e0/e9/z15327244Q,Kamienica-przy-ulicy-Kazimierzowskiej-34-w-prestiz.jpg"
Boisko na Foksal,"Boisko do, którego roszczenia kupił Maciej Marcinkowski. ",nieruchomość,http://bi.gazeta.pl/im/e3/ae/bb/z12300003X.jpg
Parking na Krakowskim Przedmieściu,Działka pod dawnym pałacem Karasia. Maciej Marcinkowski kupił prawo do pierwokupu.,nieruchomość,http://1.bp.blogspot.com/-xqQbLG6SCmQ/TuPTU-OVlkI/AAAAAAAAAEg/Q0Sz8rTr4SA/s1600/IMG_4025.JPG
Gimnazjum na ul. Twardej,Jedno z najlepszych gimnazjów w Warszawie. Burmistrz Śródmieścia chce je przenieść na Mokotów mimo braku pewności co do jego finansowania przez władze dzielnicy.,nieruchomość,"http://bi.gazeta.pl/im/22/d4/d9/z14275618Q,42--gimnazjum-przy-ul--Twardej-8-12--W-glebi-po-pr.jpg"
Ogród Jordanowski na ul. Szarej,"Ogród Jordanowski, który w tajemniczy sposób przestał być ogrodem. Roszczenia do niego kupił Maciej Marcinkowski i odzyskał w błyskawiczny sposób. Chciał tam postawić ośmiopiętrowe bloki.",nieruchomość,"http://bi.gazeta.pl/im/5/8330/z8330275Q,Park-u-zbiegu-ulic-Rozbrat--Sniegockiej-i-Szarej.jpg"
Pracownia Dawos,Opracowuje bardzo dużo planów zagospodarowania terenu na zlecenie Urzędu Miasta.,urzędnik,"http://bi.gazeta.pl/im/c2/8a/d5/z13994690AA,Koncepcja-planu-miejscowego-rejonu-Foksal.jpg"
Jacek Wojciechowicz,Zastępca Hanny Gronkiewicz-Waltz. Bezpośredni przełożony Marcina Bajko.,urzędnik,http://bi.gazeta.pl/im/09/41/bd/z12402953Q.jpg
Jolanta Zdziech-Naperty,"Była dyrektor wydziału architektury dzielnicy Śródmieście. Wydała m.in. warunki zabudowy dla zburzonych koszar na 29 listopada. Zdegradowana po tym jak wydała pozwolenie na budowę budynku na pl. Zamkowym, który współprojektował jej syn. Dalej pracuje w tym samym urzędzie.",urzędnik,
Wojciech Bartelski,Burmistrz Śródmieścia. ,urzędnik,
Marek Mikos,p.o. dyrektor miejskiego Biura Architektury i Planowania Przestrzennego,urzędnik,"http://grafik.rp.pl/grafika2/379322,388105,16.jpg"
